name	mz	rt	D121	A122	A125	A126	A127	A128	B131	B132	B133	B134	B135	B136	C138	C139	C140	C157	C158	C159	C160	D202	D203	D205	A206	D207	D208	E211	E213	E214	E215	E216	H234	H235	H236	H237	H238	H239	H240
M204T60_1	204.1365808	59.9061201	539489.88		311959.0477	682414.9891	596714.1305	556359.6266	539860.2945	761062.8678	389752.2483	751914.0479	583947.5161	1145290.038	492839.7025	840697.1697		511315.7132		402908.4237	493293.227	520720.6499	606439.2141	264463.9615	753467.5362		316357.3539	898034.3494		425135.3697		661368.6354	1226508.617	748521.9365	211556.7443	1016216.198	1590136.37	442395.7946	328259.2026
M204T109	204.1600765	108.723348		111265.5428	165395.0621	200190.255	503971.995	190964.6262	232734.3363	209443.5898	271069.2843	322264.2099	165323.3831	572345.5285		249886.6656	97231.0053	113690.9142	265740.7885		365798.8856	180025.1466	137086.2416		205646.0659	517387.8069	180411.7467	300745.1373		494397.9341	304487.4753	298594.5356	198684.0773	295254.8927	177583.8632	672163.2209	318919.1745	109945.706	
M204T303	204.1833862	303.124092		180544.7406	104987.8537	122544.0403		45413.88586	644534.1322	450721.834	185196.4449	175635.705		438888.4533	243039.5485	442422.4363	239733.9593	81946.62042	246933.6819	57421.04708	260347.8922	202344.6815	130879.6389	107389.2258	94771.008	479298.8351	142898.467	121721.5961			335110.8479	107700.3539	245997.0206	29796.38873	130934.626	307740.4302	376554.1551	17564.28699	
M205T47_1	205.0115234	47.0421414		345381.0306	212912.7317		289195.3899	399568.1707	185545.9809	274947.5066	292302.5459	186931.8417	305116.5811	264411.5071	335049.2509	360081.823	601088.45	198165.379	211641.0938	229835.8972	152812.4789		105504.9363	114547.0297	424413.6795	770792.3584	340483.4964	517307.837	197855.4381	308481.9602	288419.0181	323494.1962		278853.9461			287602.7424	88462.72085	162042.3547
M205T80	205.0714022	79.83912	120215.7978	400714.2824	558720.0362	727801.0659	1100484.277		846081.9823	555326.4425	603544.2008	641437.034	533936.0274	712700.4398	680381.3545	1119064.582	344284.8085	199413.8509	1048298.9		803219.7218	493034.4406	266440.781	311803.1294	435241.702	1188476.515	306538.9629	866832.1302	279994.1123	701656.8953	660371.7494	665111.8542				1367245.034		244366.5915	57683.34572
M207T105_1	206.5205396	105.111924	33124.84195	30554.62434	176471.4805			141560.6864	232738.3204	35452.12595	192747.9172	200261.046	150338.3337		278364.314	237854.4791	125995.1304	134255.9384	261759.4151	176076.9388	271807.1829	96164.13429	91892.03508	51608.28297			241264.8817	230608.3337	93241.2955	305399.9925	366941.8254	112849.1578		142939.7393	125234.0147	362212.3047	107268.6766	83653.00682	16151.8261
M207T252	207.0269433	251.59323	185572.6492	218652.4587	341924.7398	190211.4722	243638.4209	277057.4191	236098.0825	259844.4791	321295.0391	275453.8713	517267.1712	404667.8458	364346.1735	439325.5102	91616.79428	264257.9815	302303.9159	267149.313		168194.8629	203647.6375		240300.6025	147792.7349	299134.8148	357519.7646	464571.7301	350594.0803	362382.8868	246824.2782			109861.6293	357437.4629			182071.9379
M207T202	207.0460635	201.73626	158897.9493		447708.5844	297999.6517	966998.9564	342259.5308	643842.3657	291187.932		433783.9036	152568.1613	761941.6659	501459.1773	771008.2395	371035.1126	77316.23654	626514.2697	100124.7835	764839.4926	278818.9824	85006.21692	100513.336	325099.7151		116775.9811	279306.0616	30705.61106	581913.971	322027.7917	364849.2733	112732.6594		238598.3391	464908.7782	59929.8654		
M207T170	207.1596001	169.551534		96374.35848	207809.1535	74501.95437	191586.3481	113711.6794	180296.1629			245613.7768	116238.5038		270524.447	224896.5941		132762.0349	278038.0651	278535.4764	192060.0878	177110.8876	164723.9825	269813.6888	173185.1462	261136.4993	119817.1765	177506.7731	66951.93681	233074.662	209835.1656	172785.1397	126251.5385	370136.9661	72083.13396	227823.4058	190928.8799	102997.5346	
M208T215	208.0609777	214.700019	6846420.569	16574171.28			23563275.22		12146963.26	12074947.56	12074439.05	5544394.955	1703750.642		7301245.681	19444704.97		1348054.808	11276911.12	3292760.695	5125196.548		3330648.583	2600145.864	9649316.501	7135134.628	4254903.399	21952853.05	4763494.054	25763850.03	13793265.86	10886007.76	31192853.71	16910223.88	10228288.06	21827132.37	24369014.34	3246462.399	1537001.116
